Sticker,Low,Close,High,Open,Volume,Timestamp
IBM,92.03,92.99,94.07,92.91,9619853,1167834600
IBM,92.62,93.99,94.45,92.97,11008627,1167921000
IBM,92.65,93.14,93.64,93.31,7553480,1168007400
IBM,94.02,94.55,95.12,94.17,10815640,1168266600
IBM,94.71,95.67,95.92,94.72,11619177,1168353000
IBM,93.62,94.54,94.69,94.17,9147061,1168439400
IBM,94.17,94.31,95.51,94.65,8368732,1168525800
IBM,94.17,94.97,95.31,94.64,6941779,1168612200
IBM,94.93,96.39,96.41,95.03,10043901,1168957800
IBM,95.51,95.62,96.46,96.26,8577932,1169044200
IBM,94.56,95.08,95.55,95.41,15309361,1169130600
IBM,90.39,91.94,92.59,90.82,27233447,1169217000
IBM,91.89,92.84,92.95,92.18,14162108,1169476200
IBM,91.97,92.81,93.1,92.65,10812920,1169562600
IBM,92.33,93.12,93.29,92.81,5962200,1169649000
IBM,92.94,93.22,93.61,92.94,6486560,1169735400
IBM,92.58,93.16,93.53,93.23,6036571,1169821800
IBM,93.16,94.21,94.32,93.4,7630361,1170081000
IBM,94.17,95.0,95.08,94.24,7508083,1170167400
IBM,94.02,94.79,95.11,94.46,6728500,1170253800
IBM,93.65,94.65,94.82,94.62,6914792,1170340200
IBM,94.53,94.81,95.34,94.74,6962490,1170426600
IBM,94.55,95.97,96.02,94.81,8561301,1170685800
IBM,95.16,95.46,95.98,95.6,6833309,1170772200
IBM,94.76,95.16,95.95,95.41,8052317,1170858600
IBM,94.31,95.24,95.35,94.55,6435201,1170945000
IBM,93.51,94.22,95.32,95.14,6381018,1171031400
IBM,93.9,94.24,94.84,94.46,5576226,1171290600
IBM,93.5,93.97,94.4,94.26,5965129,1171377000
IBM,93.93,94.84,95.06,94.17,5904461,1171463400
IBM,94.15,94.57,95.14,94.7,5824756,1171549800
IBM,94.29,94.64,94.89,94.76,5021532,1171636200
IBM,94.22,94.98,95.09,94.32,4313913,1171981800
IBM,94.36,94.73,95.0,94.55,4500310,1172068200
IBM,93.47,94.17,95.12,94.46,6171505,1172154600
IBM,93.13,93.43,94.11,94.07,6648167,1172241000
IBM,92.22,92.65,93.56,93.56,6194517,1172500200
IBM,88.8,89.83,91.79,91.78,12548548,1172586600
IBM,88.4,88.85,89.95,89.59,12752414,1172673000
IBM,84.87,88.21,88.96,86.28,13457522,1172759400
IBM,86.85,86.9,88.31,87.95,9886060,1172845800
IBM,86.14,87.77,88.1,86.28,10789385,1173105000
IBM,88.2,89.67,89.76,88.34,9606673,1173191400
IBM,89.5,89.81,90.68,89.84,10741479,1173277800
IBM,88.45,88.91,90.65,90.34,7744479,1173364200
IBM,88.74,89.18,89.87,89.37,6624318,1173450600
IBM,88.88,89.97,90.03,89.19,5785740,1173706200
IBM,88.55,88.63,90.32,89.73,7885899,1173792600
IBM,88.05,89.64,89.89,88.58,9114739,1173879000
IBM,89.01,89.34,89.84,89.29,6181860,1173965400
IBM,88.93,89.15,90.3,90.3,9130220,1174051800
IBM,89.28,89.86,90.17,89.82,4778233,1174311000
IBM,89.44,90.34,90.37,89.87,4769760,1174397400
IBM,89.7,91.17,91.6,90.34,8018218,1174483800
IBM,90.49,91.0,91.24,90.92,5962618,1174570200
IBM,90.49,90.85,91.03,90.65,4615475,1174656600
IBM,90.17,90.82,91.06,90.82,7038952,1174915800
IBM,90.06,90.56,90.85,90.54,4911807,1175002200
IBM,89.67,90.11,90.84,89.77,8501888,1175088600
IBM,89.83,90.41,90.93,90.5,7166669,1175175000
IBM,89.46,90.11,90.58,90.1,7989453,1175261400
IBM,89.92,91.02,91.3,90.35,6154350,1175520600
IBM,91.14,91.87,92.0,91.25,5994417,1175607000
IBM,91.37,91.98,92.21,91.59,4472905,1175693400
IBM,91.54,92.28,92.5,91.76,3459227,1175779800
IBM,91.89,92.37,92.68,92.19,5073728,1176125400
IBM,91.93,92.22,92.54,92.16,3761834,1176211800
IBM,90.77,90.98,92.45,92.27,6209997,1176298200
IBM,90.37,91.46,91.61,90.85,7411224,1176384600
IBM,90.43,90.76,91.54,91.54,6305079,1176471000
IBM,90.55,91.95,92.07,90.81,7180895,1176730200
IBM,91.8,92.85,93.37,92.07,10736144,1176816600
IBM,90.25,90.63,91.69,90.63,16601798,1176903000
IBM,89.87,90.14,90.7,90.34,9880098,1176989400
IBM,89.78,90.42,90.97,90.84,9769954,1177075800
IBM,90.87,91.02,91.52,90.98,7580780,1177335000
IBM,92.95,94.16,95.51,92.95,22437432,1177421400
IBM,94.39,97.0,97.23,94.4,15509356,1177507800
IBM,95.8,96.46,97.04,96.56,9004491,1177594200
IBM,95.66,96.72,96.72,95.89,6423904,1177680600
IBM,96.53,97.72,98.47,96.66,10512718,1177939800
IBM,97.56,98.63,98.63,97.57,9068925,1178026200
IBM,97.64,97.72,98.6,98.28,7134034,1178112600
IBM,96.89,98.28,98.47,97.28,7638101,1178199000
IBM,97.75,98.43,98.5,98.23,5716181,1178285400
IBM,97.9,98.62,98.63,98.24,5878625,1178544600
IBM,97.72,98.75,98.84,97.92,6239390,1178631000
IBM,99.14,99.79,100.14,99.36,8794873,1178717400
IBM,99.15,100.08,100.49,99.25,9371951,1178803800
IBM,100.07,101.32,101.33,100.09,6303301,1178890200
IBM,100.18,100.93,101.58,101.16,5996300,1179149400
IBM,100.1,100.22,101.15,100.76,6384993,1179235800
IBM,99.93,101.21,101.23,100.48,5871721,1179322200
IBM,100.12,100.68,101.56,100.97,8060894,1179408600
IBM,100.96,103.24,103.3,101.19,10310945,1179495000
IBM,102.17,102.33,103.25,102.93,7857761,1179754200
IBM,101.35,102.01,102.53,102.25,5557712,1179840600
IBM,100.62,100.94,102.29,102.1,4599157,1179927000
IBM,99.02,99.38,101.32,100.81,7244910,1180013400
IBM,99.28,100.55,100.79,99.33,6404658,1180099800
IBM,100.67,101.25,101.94,100.93,5669634,1180445400
IBM,100.58,102.23,102.39,100.76,7741446,1180531800
IBM,101.34,101.91,102.93,102.54,5332194,1180618200
IBM,101.36,101.85,102.52,101.93,5532503,1180704600
IBM,100.94,101.56,101.9,101.82,4780115,1180963800
IBM,100.9,101.19,101.86,101.86,5485433,1181050200
IBM,97.89,97.91,100.87,100.86,32186152,1181136600
IBM,97.09,97.32,98.63,97.95,15046292,1181223000
IBM,97.28,98.54,98.67,97.32,8594250,1181309400
IBM,97.99,98.68,99.43,98.35,8266643,1181568600
IBM,97.66,97.84,98.64,98.58,5835006,1181655000
IBM,97.61,98.59,98.72,98.33,6733730,1181741400
IBM,98.29,99.28,99.66,98.57,5403218,1181827800
IBM,99.31,100.47,100.56,99.64,9866186,1181914200
IBM,100.28,100.7,101.0,100.64,6651723,1182173400
IBM,100.29,101.82,101.97,100.32,6018684,1182259800
IBM,101.29,101.34,102.31,101.82,6842409,1182346200
IBM,100.97,101.91,102.29,101.12,5844839,1182432600
IBM,99.85,99.85,101.76,101.3,11305691,1182519000
IBM,99.9,100.48,101.12,100.12,8866314,1182778200
IBM,100.21,100.7,101.4,100.48,5470162,1182864600
IBM,99.81,100.79,100.83,100.14,5652375,1182951000
IBM,100.59,101.29,102.22,100.88,5680721,1183037400
IBM,99.52,100.62,101.89,101.3,7341246,1183123800
IBM,99.98,100.39,101.15,100.76,4917560,1183383000
IBM,100.61,101.89,102.37,100.86,4411923,1183469400
IBM,101.32,103.3,103.62,101.63,6977761,1183642200
IBM,102.93,104.24,104.84,103.05,9390151,1183728600
IBM,103.44,104.18,104.54,103.95,6324430,1183987800
IBM,103.49,103.85,104.35,103.78,6494928,1184074200
IBM,103.49,104.3,104.78,103.54,6158639,1184160600
IBM,103.46,104.47,104.83,104.54,9983129,1184247000
IBM,103.35,103.82,104.4,103.97,7451809,1184333400
IBM,103.65,104.84,105.2,103.8,9271953,1184592600
IBM,104.64,105.9,106.57,104.84,7970415,1184679000
IBM,105.2,106.2,106.96,105.4,10621189,1184765400
IBM,109.61,110.76,111.36,109.94,18076554,1184851800
IBM,108.93,109.76,110.76,109.8,12244790,1184938200
IBM,109.8,111.26,111.31,109.83,8410781,1185197400
IBM,109.96,111.06,111.85,110.25,10982268,1185283800
IBM,110.17,112.91,113.17,111.08,11861640,1185370200
IBM,110.44,111.41,113.59,111.86,17595917,1185456600
IBM,110.54,110.54,112.76,111.49,18973080,1185543000
IBM,108.53,109.48,110.66,109.94,15789788,1185802200
IBM,105.18,105.78,109.67,109.67,18635745,1185888600
IBM,105.22,107.11,107.77,105.54,12960254,1185975000
IBM,106.6,108.25,109.03,107.17,11839569,1186061400
IBM,106.79,106.97,109.16,108.26,10011580,1186147800
IBM,106.79,108.88,108.88,107.05,7578793,1186407000
IBM,107.31,108.54,109.15,108.05,8390384,1186493400
IBM,107.32,108.01,109.56,109.27,8034744,1186579800
IBM,105.86,105.86,109.46,105.9,9503956,1186666200
IBM,104.88,107.69,108.51,104.92,10033441,1186752600
IBM,107.37,107.75,108.94,108.02,6417733,1187011800
IBM,106.83,107.12,108.17,107.87,5873918,1187098200
IBM,105.08,106.34,107.89,106.12,12175649,1187184600
IBM,99.14,104.87,106.52,106.1,17492258,1187271000
IBM,103.88,106.02,107.72,106.95,15977232,1187357400
IBM,104.33,104.42,106.21,106.02,10292431,1187616600
IBM,103.33,104.24,105.27,104.11,8847591,1187703000
IBM,104.35,105.16,105.64,105.25,6620866,1187789400
IBM,105.17,106.55,106.77,105.54,8651466,1187875800
IBM,105.94,108.26,108.27,106.55,7383400,1187962200
IBM,107.84,108.45,108.84,108.03,5148203,1188221400
IBM,106.72,107.07,108.59,107.93,6282904,1188307800
IBM,107.14,109.53,109.92,107.92,7374091,1188394200
IBM,108.62,110.3,110.9,108.62,8112881,1188480600
IBM,110.47,111.56,112.19,110.89,7200246,1188567000
IBM,111.04,112.99,113.66,111.22,8441743,1188912600
IBM,111.42,112.7,112.95,112.31,6857053,1188999000
IBM,111.13,112.45,113.53,112.73,7090416,1189085400
IBM,110.26,110.47,111.83,111.09,7857238,1189171800
IBM,110.25,110.71,112.33,111.04,6399742,1189431000
IBM,110.94,112.19,112.6,111.23,8471240,1189517400
IBM,110.6,110.9,112.24,111.81,6576411,1189603800
IBM,110.65,110.85,111.85,111.19,5023624,1189690200
IBM,109.61,110.07,110.9,109.99,7222002,1189776600
IBM,109.27,109.48,110.18,109.66,5253430,1190035800
IBM,109.78,111.5,111.64,109.94,8200117,1190122200
IBM,110.69,111.54,112.04,111.76,10785515,1190208600
IBM,111.09,111.72,112.48,111.16,6073494,1190295000
IBM,111.23,111.64,112.91,112.71,9515776,1190381400
IBM,110.76,111.14,112.27,111.76,5998078,1190640600
IBM,110.7,111.39,112.42,110.92,7369279,1190727000
IBM,111.62,112.14,112.89,111.8,7003179,1190813400
