Sticker,Low,Close,High,Open,Volume,Timestamp
AAPL,154.7,174.78,182.94,177.83,2108446000,1641013200
AAPL,152.0,165.12,176.65,174.01,1627516300,1643691600
AAPL,150.1,174.61,179.61,164.7,2180800100,1646110800
AAPL,155.38,157.65,178.49,174.03,1687795600,1648785600
AAPL,132.61,148.84,166.48,156.71,2401040300,1651377600
AAPL,129.04,136.72,151.74,149.9,1749099800,1654056000
AAPL,135.66,162.51,163.63,136.04,1447125400,1656648000
AAPL,157.14,157.22,176.15,161.01,1510239600,1659326400
AAPL,138.0,138.2,164.26,156.64,2084722800,1662004800
AAPL,134.37,153.34,157.5,138.21,1868139700,1664596800
AAPL,134.38,148.03,155.45,155.08,1724847700,1667275200
AAPL,125.87,129.93,150.92,148.21,1675731200,1669870800
AAPL,124.17,144.29,147.23,130.28,1443652500,1672549200
